Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION, AGE, SEX",6
#1-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#1-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION, AGE",5
#1-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION",5
#1-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#1-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#1-a-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#1-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#10-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#10-7-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#10-7-4,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#11-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA",4
#11-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#11-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#11-3-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#11-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#11-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION",4
#11-7-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#11-7-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-4-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#12-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-1-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#13-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#14-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#14-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-4-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-8-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-9-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#15-c-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#16-1-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#16-1-4,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#16-10-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#16-2-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#16-3-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-6-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-7-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#16-8-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-9-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#16-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#16-b-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, SEX",4
#17-1-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-11-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-13-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-3-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-6-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#17-8-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#2-1-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION",4
#2-2-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#2-2-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION, SEX",6
#2-2-3,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, URBANISATION, SEX",5
#2-2-4,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL, REF_AREA, URBANISATION",5
#2-3-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-4-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-5-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-a-1,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
#2-a-2,"OBS_STATUS, UNIT_MULT, SOURCE_DETAIL",3
