Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2019,A,0,ZDHS_2023_24,SE_PRE_PARTN,,,,PT,81.0
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,,,,PT,78.7
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,,,R,PT,76.1
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,,,U,PT,83.7
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,,F,,PT,78.8
2022,A,0,ZDHS_2023_24,SE_PRE_PARTN,,M,,PT,67.0
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,,M,,PT,78.6
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_BA,,,PT,89.1
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_HA,,,PT,83.7
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MA,,,PT,77.8
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MC,,,PT,67.6
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_ME,,,PT,84.0
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MI,,,PT,76.7
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MN,,,PT,86.2
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MS,,,PT,94.0
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MV,,,PT,78.1
2024,A,0,ZDHS_2023_24,SE_PRE_PARTN,ZW_MW,,,PT,69.0
