Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,,PT,55.3
2021,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,,PT,60.0
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,,PT,61.48422487662142
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,R,PT,39.2
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,R,PT,55.16670164368102
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,U,PT,90.1
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,,U,PT,70.39773778310068
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_BA,,PT,93.5
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_BA,,PT,93.78399247968844
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_HA,,PT,87.9
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_HA,,PT,87.31311882513691
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MA,,PT,37.5
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MA,,PT,50.16433731202616
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MC,,PT,36.2
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MC,,PT,51.03351905689536
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_ME,,PT,44.3
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_ME,,PT,56.33491360075641
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MI,,PT,52.7
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MI,,PT,57.80067417159576
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MN,,PT,42.4
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MN,,PT,42.039152367294136
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MS,,PT,51.0
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MS,,PT,45.54849788959696
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MV,,PT,52.7
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MV,,PT,56.74613770741942
2019,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MW,,PT,57.2
2022,A,0,Zimstat_2022_PHC,EG_ACS_ELEC,ZW_MW,,PT,60.07989461621668
