Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,3.53
2016,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,3.78
2017,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,2.6
2018,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,4.2
2019,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,4.3
2020,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,2.3
2021,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,2.5
2022,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,5.2
2023,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,6.2
2024,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,1.89
2025,A,0,ZIMSTAT_National_Accounts,ST_GDP_ZS,,PT,1.84
