Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2019,A,0,ZDHS_2023_24,SG_REG_BRTH,,,,PT,48.7
2022,A,0,ZDHS_2023_24,SG_REG_BRTH,,,,PT,19.1
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,,,,PT,56.6
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,,,R,PT,52.2
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,,,U,PT,64.8
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,,F,,PT,57.4
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,,M,,PT,55.7
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_BA,,,PT,81.9
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_HA,,,PT,57.2
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MA,,,PT,48.9
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MC,,,PT,58.5
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_ME,,,PT,52.9
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MI,,,PT,52.8
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MN,,,PT,65.5
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MS,,,PT,75.0
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MV,,,PT,49.7
2024,A,0,ZDHS_2023_24,SG_REG_BRTH,ZW_MW,,,PT,58.2
