Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,MOFEDIP,GC_GOB_TAXD,,PT,98.99
2016,A,0,MOFEDIP,GC_GOB_TAXD,,PT,99.34
2017,A,0,MOFEDIP,GC_GOB_TAXD,,PT,94.71
2018,A,0,MOFEDIP,GC_GOB_TAXD,,PT,94.7
2019,A,0,MOFEDIP,GC_GOB_TAXD,,PT,98.0
2020,A,0,MOFEDIP,GC_GOB_TAXD,,PT,98.0
2021,A,0,MOFEDIP,GC_GOB_TAXD,,PT,99.35
2022,A,0,MOFEDIP,GC_GOB_TAXD,,PT,100.0
2023,A,0,MOFEDIP,GC_GOB_TAXD,,PT,100.0
2024,A,0,MOFEDIP,GC_GOB_TAXD,,PT,100.0
2025,A,0,MOFEDIP,GC_GOB_TAXD,,PT,100.0
