Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2023,A,0,ZIMSTAT,SL_TLF_NEET_19ICLS,,,Y15T24,PT,45.4
2024,A,0,ZIMSTAT,SL_TLF_NEET_19ICLS,,,Y15T24,PT,27.9
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,F,Y15T24,PT,51.1
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,,M,Y15T24,PT,39.8
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,,Y15T24,PT,39.798601920029824
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,F,Y15T24,PT,42.36789642565211
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_BA,M,Y15T24,PT,36.59796352101081
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,,Y15T24,PT,37.68083539198772
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,F,,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,F,Y15T24,PT,42.20754433815757
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_HA,M,Y15T24,PT,32.126076064404224
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,,Y15T24,PT,45.4659656632392
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,F,Y15T24,PT,49.93627981408934
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MA,M,Y15T24,PT,41.10512449129034
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,,Y15T24,PT,47.41867891637377
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,F,Y15T24,PT,55.835960087233296
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MC,M,Y15T24,PT,40.265448567655696
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,,Y15T24,PT,43.76511990649829
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,F,Y15T24,PT,51.54889102087138
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_ME,M,Y15T24,PT,36.41777059728848
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,,Y15T24,PT,46.79541641495194
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,F,Y15T24,PT,51.42363981576533
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MI,M,Y15T24,PT,42.27888636438474
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,,Y15T24,PT,57.92165070469112
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,F,Y15T24,PT,63.98608221156582
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MN,M,Y15T24,PT,53.089171078117616
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,,Y15T24,PT,52.13311120095665
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,F,Y15T24,PT,59.487885725705205
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MS,M,Y15T24,PT,43.33612590649674
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,,Y15T24,PT,44.83690054101584
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,F,Y15T24,PT,51.49580059565197
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MV,M,Y15T24,PT,38.49332781342717
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,,Y15T24,PT,49.479182367932
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,F,Y15T24,PT,57.33022904133568
2023,A,0,Zimstat_QLFS,SL_TLF_NEET_19ICLS,ZW_MW,M,Y15T24,PT,42.50605296944796
