Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2011,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,,PT,21.6
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,,PT,34.2
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,,PT,39.8
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,R,PT,47.92728
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,R,PT,52.61328
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,U,PT,4.78471
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,,U,PT,10.98269
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,Y_GE65,,PT,29.6625
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,Y_GE65,,PT,33.05316
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,Y0T15,,PT,41.19563
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,Y0T15,,PT,47.24313
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,Y15T64,,PT,29.73578
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,,Y15T64,,PT,34.9821
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,F,,,PT,34.27809
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,F,,,PT,39.44854
2017,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,M,,,PT,34.54693
2019,A,0,Poverty_and_Inequality_Portal_World_Bank,SI_POV_DAY1,,M,,,PT,40.08752
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y_GE15,,PT,19.23
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y_GE15,,PT,30.53
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y_GE15,,PT,35.63
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y_GE25,,PT,16.83
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y_GE25,,PT,27.88
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y_GE25,,PT,33.2
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y15T24,,PT,25.93
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y15T24,,PT,38.48
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,,Y15T24,,PT,43.05
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y_GE15,,PT,20.04
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y_GE15,,PT,32.79
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y_GE15,,PT,38.53
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y_GE25,,PT,19.12
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y_GE25,,PT,31.97
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y_GE25,,PT,37.92
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y15T24,,PT,22.99
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y15T24,,PT,35.68
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,F,Y15T24,,PT,40.73
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y_GE15,,PT,18.42
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y_GE15,,PT,28.23
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y_GE15,,PT,32.65
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y_GE25,,PT,14.37
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y_GE25,,PT,23.38
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y_GE25,,PT,27.92
2011,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y15T24,,PT,28.31
2017,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y15T24,,PT,40.72
2019,A,0,ILO_modelled_estimates_Nov_2024,SI_POV_EMP1,,M,Y15T24,,PT,44.89
