Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2011,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,,PT,72.3
2017,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,,PT,53.1
2019,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,,PT,57.0
2011,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,R,PT,84.3
2017,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,R,PT,64.7
2019,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,R,PT,72.0
2011,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,U,PT,46.5
2017,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,U,PT,34.3
2019,A,0,Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,SI_POV_NAHC,,,U,PT,24.0
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,F,,PT,53.0
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,F,R,PT,67.3
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,F,U,PT,28.6
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,M,,PT,53.2
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,M,R,PT,61.6
2017,A,0,Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,SI_POV_NAHC,,M,U,PT,40.1
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_BA,,,PT,43.2
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_BA,,,PT,14.9
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_HA,,,PT,43.7
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_HA,,,PT,20.0
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MA,,,PT,80.0
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MA,,,PT,64.5
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MC,,,PT,82.7
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MC,,,PT,57.4
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_ME,,,PT,75.9
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_ME,,,PT,65.5
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MI,,,PT,76.7
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MI,,,PT,55.3
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MN,,,PT,89.9
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MN,,,PT,74.8
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MS,,,PT,82.5
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MS,,,PT,55.9
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MV,,,PT,73.8
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MV,,,PT,56.9
2011,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MW,,,PT,80.1
2017,A,0,Zimstat_Poverty_Report_2017_Lower_Line,SI_POV_NAHC,ZW_MW,,,PT,62.2
