Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2015,A,0,TBA,VC_VOV_PHYL,,,,PT,0.0
2023,A,0,TBA,VC_VOV_PHYL,,,,PT,0.85
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,,F,,PT,13.6
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,,F,R,PT,15.7
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,,F,U,PT,10.8
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_BA,F,,PT,8.5
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_HA,F,,PT,9.4
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MA,F,,PT,13.1
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MC,F,,PT,14.1
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_ME,F,,PT,14.0
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MI,F,,PT,15.7
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MN,F,,PT,12.1
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MS,F,,PT,10.2
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MV,F,,PT,13.8
2024,A,0,ZDHS_2023_24,VC_VOV_PHYL,ZW_MW,F,,PT,20.1
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,,F,,PT,19.2
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,,F,R,PT,21.4
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,,F,U,PT,16.3
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_BA,F,,PT,14.3
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_HA,F,,PT,14.4
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MA,F,,PT,24.9
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MC,F,,PT,16.2
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_ME,F,,PT,16.9
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MI,F,,PT,21.7
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MN,F,,PT,21.9
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MS,F,,PT,15.9
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MV,F,,PT,15.6
2024,A,0,ZDHS_2023_24,VC_VOV_PSYCHL,ZW_MW,F,,PT,26.1
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,,F,,PT,5.3
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,,F,R,PT,6.4
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,,F,U,PT,3.8
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_BA,F,,PT,3.1
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_HA,F,,PT,2.5
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MA,F,,PT,7.0
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MC,F,,PT,4.0
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_ME,F,,PT,5.7
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MI,F,,PT,6.9
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MN,F,,PT,8.6
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MS,F,,PT,2.8
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MV,F,,PT,6.0
2024,A,0,ZDHS_2023_24,VC_VOV_SEXL,ZW_MW,F,,PT,6.1
