Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2019,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,PT,19.1
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,PT,20.7
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,,PT,20.5
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,F,PT,22.8
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,F,PT,22.5
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,M,PT,19.2
2024,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,,M,PT,19.4
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_BA,,PT,22.016668167203555
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_BA,F,PT,37.487781641499545
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_BA,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_HA,,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_HA,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MA,,PT,11.572668772977703
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MA,F,PT,29.20078406414178
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MA,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MC,,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MC,F,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MC,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_ME,,PT,9.393069621868705
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_ME,F,PT,20.206243830147734
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_ME,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MI,,PT,9.39086718263322
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MI,F,PT,18.817845632421022
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MI,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MN,,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MN,F,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MN,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MS,,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MS,F,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MS,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MV,,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MV,F,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MV,M,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MW,,PT,6.043063438707879
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MW,F,PT,0.0
2023,A,0,Zimstat_QLFS,SL_TLF_UEMDIS_19ICLS,ZW_MW,M,PT,8.573055589970597
