Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2017,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,,PT,21.6
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,,PT,33.7
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,,PT,61.936167437294046
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,R,PT,7.7
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,R,PT,55.65878871101471
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,U,PT,83.2
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,,U,PT,70.79708533995965
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_BA,,PT,85.6
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_BA,,PT,94.0933010992187
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_HA,,PT,87.2
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_HA,,PT,88.12671475002564
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MA,,PT,18.1
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MA,,PT,50.54971265075429
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MC,,PT,11.3
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MC,,PT,51.37132481069131
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_ME,,PT,19.7
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_ME,,PT,56.75936229219795
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MI,,PT,31.2
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MI,,PT,58.30603044542835
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MN,,PT,10.1
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MN,,PT,42.421770056245066
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MS,,PT,20.0
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MS,,PT,45.84930713496731
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MV,,PT,16.4
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MV,,PT,57.15525364300525
2019,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MW,,PT,23.9
2022,A,0,Zimstat_2022_PHC,EG_EGY_CLEAN,ZW_MW,,PT,60.45453822724261
