Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,URBANISATION,UNIT_MEASURE,Value
2015,A,0,ZDHS_2023_24,SH_STA_STNT,,,,PT,26.8
2019,A,0,ZDHS_2023_24,SH_STA_STNT,,,,PT,23.5
2024,A,0,ZDHS_2023_24,SH_STA_STNT,,,,PT,27.0
2024,A,0,ZDHS_2023_24,SH_STA_STNT,,,R,PT,28.8
2024,A,0,ZDHS_2023_24,SH_STA_STNT,,,U,PT,23.5
2024,A,0,ZDHS_2023_24,SH_STA_STNT,,F,,PT,24.6
2024,A,0,ZDHS_2023_24,SH_STA_STNT,,M,,PT,29.6
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_BA,,,PT,21.5
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_HA,,,PT,26.1
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MA,,,PT,30.9
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MC,,,PT,29.9
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_ME,,,PT,27.0
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MI,,,PT,27.3
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MN,,,PT,22.8
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MS,,,PT,32.8
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MV,,,PT,24.5
2024,A,0,ZDHS_2023_24,SH_STA_STNT,ZW_MW,,,PT,24.3
