Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2015,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,-3.3
2016,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,-3.3
2017,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,2.5
2018,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,14.8
2019,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,15.75
2020,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,30.1
2021,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,23.4
2022,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,58.7
2023,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,-4.9
2024,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,9.39
2025,A,0,ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,AG_FPA_COMM,,PT,102.9
