Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,Value
2019,A,0,2023_EMIS,SE_TOT_PRFL,,,,PT,61.1
2021,A,0,2023_EMIS,SE_TOT_PRFL,,,,PT,72.1
2022,A,0,2023_EMIS,SE_TOT_PRFL,,,,PT,75.3
2023,A,0,2023_EMIS,SE_TOT_PRFL,,,,PT,70.1
2019,A,0,2023_EMIS,SE_TOT_PRFL,,,AGG_0_1,PT,60.1
2019,A,0,2023_EMIS,SE_TOT_PRFL,,F,,PT,66.1
2021,A,0,2023_EMIS,SE_TOT_PRFL,,F,,PT,73.5
2022,A,0,2023_EMIS,SE_TOT_PRFL,,F,,PT,78.0
2023,A,0,2023_EMIS,SE_TOT_PRFL,,F,,PT,72.7
2019,A,0,2023_EMIS,SE_TOT_PRFL,,F,AGG_0_1,PT,63.1
2019,A,0,2023_EMIS,SE_TOT_PRFL,,M,,PT,55.7
2021,A,0,2023_EMIS,SE_TOT_PRFL,,M,,PT,70.6
2022,A,0,2023_EMIS,SE_TOT_PRFL,,M,,PT,73.0
2023,A,0,2023_EMIS,SE_TOT_PRFL,,M,,PT,67.3
2019,A,0,2023_EMIS,SE_TOT_PRFL,,M,AGG_0_1,PT,56.9
