Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2009,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,10.77925292538384
2010,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,15.599746751843954
2011,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,15.552482356251456
2012,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,14.043402243513045
2013,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,13.68667748115296
2014,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,12.688281778215964
2015,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,12.491328600067485
2016,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,12.46642630785706
2017,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,12.061130060336104
2018,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,14.934874013195795
2019,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,14.222359751223692
2020,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,12.574882894728376
2021,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,11.732142339439504
2022,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,11.203113549009586
2023,A,0,ZIMSTAT_National_Accounts,NV_IND_MANF,,PT,10.861970847026
2009,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,87.17364525323653
2010,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,89.88366818709584
2011,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,103.81591238388076
2012,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,180.00809992716108
2013,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,180.44360399085463
2014,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,175.412928208344
2015,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,161.7794289104285
2016,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,162.4265466260702
2017,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,159.58276945699376
2018,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,167.37714744880176
2019,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,2114.9243702633025
2020,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,14852.217562323907
2021,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,26683.13941988497
2022,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,168085.16699636055
2023,A,0,ZIMSTAT_National_Accounts,NV_IND_MANFPC,,PT,1418809.168446547
