Value,Disaggregation combinations using this value,Number of indicators
2021_Child_Poverty_in_Zimbabwe,3,1
2023_EMIS,6,1
CAAZ,1,1
CLAFA_2024,1,1
CMMD_reports,2,2
Compliance_documents_available_CCMD,1,1
Constitution,1,1
DHIS2,1,1
DHIS2_2024,10,1
DRM_CCA_Plans,1,1
Drug_and_Substance_abuse_reports_surveys,1,1
EMA,4,4
EMA_2023,1,1
EMA_Ambient_water_quality_data,1,1
EMA_REPORTS,1,1
EMIS_2024,138,2
FAO_Aquastats_survey_2020,2,2
FCZ,4,2
Global_SDG_Report,1,1
GOZ,5,5
HIV_estimates,1,1
ILO_modelled_estimates_Nov_2024,9,1
International_Union_for_Conservation_of_Nature_(IUCN),1,1
ITU,1,1
Labour_Force_Survey,1,1
Local_Authorities_and_Ministry_Records,1,1
Local_Authority_By_Laws,1,1
MHTEISTD,1,1
Min_of_Agric,2,2
Min_of_Energy,1,1
Min_of_Environment,5,1
Min_of_Women,4,1
Min_primany_secondary_EMIS_2019,1,1
Min_primany_secondary_EMIS_2021,1,1
Min_primany_secondary_EMIS_2024,2,1
Ministry_of_Lands,3,2
Minutes_of_meetings_Workshop_Reports_Master_and_Local_Plans_Documents,2,2
MLGPWNH,1,1
MLGPWNH_CPU,1,1
MOEFEDIP,1,1
MOEPD_Zimstat,1,1
MoETHI,3,3
MOFAIT,1,1
MoFED,2,1
MOFEDIP,16,13
MOFEDIP_ICD_Devpromise_system,1,1
MoHACH,4,2
MOHCC,6,5
MoLGPWNH,1,1
MoPSE,3,1
MoSMED,1,1
MoSYC,1,1
MPSLSW_administrative_records_National_Employment_Councils_NEC_report,2,2
National_Health_Accounts,2,1
National_Migration_Policy,2,2
PARLIAMENT,3,1
Parliamentary_Bill_tracker,1,1
PHC,1,1
Poverty_and_Inequality_Portal_World_Bank,8,1
Public_Service_Commision,1,1
RBZ,2,2
RBZ_MMCZ_FGR_Zimstat,3,1
RBZ_MMCZ_FGR_Zimstats,3,1
Reserve_Bank_Of_Zimbabwe,3,2
Social_Welfare,3,1
SPAR,1,1
TBA,1,1
The_constitution_of_Zimbabwe_and_the_PARIS_principles,1,1
UNDP_MECW,1,1
UNDRR_CPU,2,1
UNEP_2020,1,1
UNEP_WCMC,3,2
ZACC_case_files,1,1
ZDHS 2023-24,2,1
ZDHS,1,1
ZDHS_2023_24,233,23
ZERA_and_ZESA,2,2
Zimbabwe_CivilProtection_Unit_2018,1,1
Zimbabwe_Embassys_Mission_reports_UNGA,1,1
ZimLac,1,1
ZIMPARKS,1,1
ZIMSTAT,7,6
Zimstat_2022_PHC,69,6
Zimstat_ICDS_2017,3,3
Zimstat_ICT_Survey_2014,1,1
ZIMSTAT_Labourforce_Report,13,1
Zimstat_MICS_2019,17,8
ZIMSTAT_MICS_Report_2019,2,1
Zimstat_Mini__PICES__Poverty_Report_2019__LowerLine,3,1
ZIMSTAT_MoPSLSF,1,1
ZIMSTAT_National_Account_Report,2,2
"ZIMSTAT_,National_Account_Report",1,1
ZIMSTAT_National_Accounts,4,3
ZIMSTAT_National_Accounts_Department_2018,1,1
ZIMSTAT_Population_and_Housing_Census_Report_2022,11,1
Zimstat_Poverty_Atlas__Report_2021_Males_and_Females,6,1
Zimstat_Poverty_Report_2017_Lower_Line,10,1
ZIMSTAT_Prices_Department_Base_year_Dec_2024=100_End_of_period,1,1
Zimstat_QLFS,66,3
ZIMSTAT_TSR_2024,1,1
ZIMSTAT_women_and_men_report,1,1
ZINWA,1,1
ZRP_Crime_Records,1,1
